Date,Put and Call Options
2020-07-14,0.6071944489065402
2020-07-15,0.6065481907121908
2020-07-16,0.5942680089409877
2020-07-17,0.5943619454580491
2020-07-20,0.5961758696580269
2020-07-21,0.5665464977210342
2020-07-22,0.5652073963671782
2020-07-23,0.5831285159505899
2020-07-24,0.6162962776550219
2020-07-27,0.6259433046005277
2020-07-28,0.6452433968623533
2020-07-29,0.6600934026221328
2020-07-30,0.6689113971120546
2020-07-31,0.6555561192154347
2020-08-03,0.6371377932695863
2020-08-04,0.6166417341532223
2020-08-05,0.6009547192606003
2020-08-06,0.5591654162430404
2020-08-07,0.5433671010137295
2020-08-10,0.538190079184229
2020-08-11,0.5451694065807721
2020-08-12,0.5659532502520335
2020-08-13,0.5877085120370501
2020-08-14,0.6042659909146154
2020-08-17,0.6120743906767177
2020-08-18,0.6286996468522104
2020-08-19,0.6255174679047766
2020-08-20,0.6307431499389816
2020-08-21,0.6176763681155035
2020-08-24,0.6147911396461863
2020-08-25,0.5892382056900869
2020-08-26,0.5701067201762473
2020-08-27,0.5464962356838478
2020-08-28,0.5211626261322222
2020-08-31,0.5217923356346867
2020-09-01,0.5124507736623798
2020-09-02,0.5046755107570833
2020-09-03,0.5461340222529756
2020-09-04,0.6007932835949191
2020-09-08,0.6282537818374522
2020-09-09,0.6579375630040553
2020-09-10,0.6988536602387018
2020-09-11,0.7172935645149149
2020-09-14,0.6805626551112626
2020-09-15,0.6627910250432913
2020-09-16,0.6592884207966561
2020-09-17,0.6584864640613771
2020-09-18,0.6434004171256319
2020-09-21,0.6712771083292786
2020-09-22,0.6816880547105477
2020-09-23,0.7040040344907859
2020-09-24,0.7261216567997704
2020-09-25,0.7256981580979285
2020-09-28,0.6964949076164733
2020-09-29,0.6990389064566263
2020-09-30,0.6842289461468172
2020-10-01,0.6396382518343902
2020-10-02,0.6339395699002681
2020-10-05,0.6355226314672244
2020-10-06,0.6351654004376573
2020-10-07,0.6243370095077724
2020-10-08,0.6213335485927564
2020-10-09,0.5965196389783812
2020-10-12,0.5845738246870292
2020-10-13,0.5669176031192021
2020-10-14,0.5594192453862007
2020-10-15,0.5715342664138058
2020-10-16,0.5765559550605571
2020-10-19,0.5904006049453858
2020-10-20,0.6038321554087928
2020-10-21,0.6216277476514345
2020-10-22,0.6239642872148974
2020-10-23,0.6352240530096563
2020-10-26,0.6703590714923428
2020-10-27,0.6797416306903415
2020-10-28,0.7233158984612296
2020-10-29,0.7344305607224889
2020-10-30,0.7863311025351005
2020-11-02,0.7681566518732051
2020-11-03,0.7747165804024203
2020-11-04,0.7481758732043572
2020-11-05,0.7281828052104805
2020-11-06,0.6663153119976613
2020-11-09,0.6378783058975294
2020-11-10,0.6267610031988475
2020-11-11,0.6133447452770084
2020-11-12,0.6425841133049665
2020-11-13,0.6502710672112245
2020-11-16,0.6496383817358092
2020-11-17,0.6377734494286221
2020-11-18,0.6167301813794545
2020-11-19,0.5854271707586884
2020-11-20,0.5716773722291032
2020-11-23,0.5611050464330205
2020-11-24,0.5411287820433467
2020-11-25,0.5320235690098312
2020-11-27,0.5119603683820693
2020-11-30,0.5060352133883125
2020-12-01,0.5004820024128753
2020-12-02,0.5020542318460636
2020-12-03,0.4939748210863253
2020-12-04,0.49702927931919366
2020-12-07,0.48497693167647854
2020-12-08,0.4770546822402949
2020-12-09,0.4881987721890189
2020-12-10,0.4992379215476143
2020-12-11,0.49788968411327506
2020-12-14,0.5116069409047874
2020-12-15,0.5262581653301556
2020-12-16,0.5167400819302725
2020-12-17,0.5018048348704129
2020-12-18,0.5103479582924738
2020-12-21,0.5176910321476939
2020-12-22,0.5126242312283378
2020-12-23,0.5167924917156348
2020-12-24,0.5420532728825542
2020-12-28,0.5425194274415949
2020-12-29,0.5486605704385366
2020-12-30,0.5628641279657434
2020-12-31,0.5815088346867139
2021-01-04,0.5872539679756988
2021-01-05,0.591191217303833
2021-01-06,0.5807915476136919
2021-01-07,0.568809695504045
2021-01-08,0.560314815550691
2021-01-11,0.5507748769301033
2021-01-12,0.5347467985034398
2021-01-13,0.5214866030652257
2021-01-14,0.5127700360199657
2021-01-15,0.5159901104635612
2021-01-19,0.5109047587488557
2021-01-20,0.5172025940444855
