Date,Safe Haven Demand
2020-07-14,1.5580224961678386
2020-07-15,3.172748876756955
2020-07-16,2.8829108365866127
2020-07-17,3.881355592170059
2020-07-20,3.838288309001553
2020-07-21,3.463118465905693
2020-07-22,6.948318564107772
2020-07-23,4.464346529360749
2020-07-24,6.666826699137957
2020-07-27,6.1145672391800945
2020-07-28,3.66868296311887
2020-07-29,3.825468861123452
2020-07-30,2.909218283352554
2020-07-31,1.967137605778326
2020-08-03,4.221178265575709
2020-08-04,3.318079198174234
2020-08-05,5.206402674245301
2020-08-06,4.532874242286369
2020-08-07,5.871781674201775
2020-08-10,4.924443147016051
2020-08-11,3.389498997473719
2020-08-12,5.564800897636565
2020-08-13,5.25616687416703
2020-08-14,4.404446035225764
2020-08-17,4.492888056408088
2020-08-18,3.964668854012832
2020-08-19,5.03610697826324
2020-08-20,5.695294523277541
2020-08-21,5.06308076848605
2020-08-24,7.175389812824003
2020-08-25,6.625937529958123
2020-08-26,8.239598259015954
2020-08-27,8.011915452926907
2020-08-28,7.658520219287634
2020-08-31,7.136396965418834
2020-09-01,6.857559087910767
2020-09-02,7.660544500462757
2020-09-03,3.5457286676800837
2020-09-04,2.843137254901978
2020-09-08,0.3515967502274626
2020-09-09,0.6613676795764082
2020-09-10,-1.2577637052964603
2020-09-11,-1.3085353157359
2020-09-14,-0.05692929626058114
2020-09-15,0.4617647058823509
2020-09-16,0.3955883941049992
2020-09-17,-0.5133756901644319
2020-09-18,-1.859391232137199
2020-09-21,-4.250120241873255
2020-09-22,-3.8416677129384578
2020-09-23,-7.489870267323158
2020-09-24,-7.85367906346965
2020-09-25,-6.860792177833704
2020-09-28,-4.845829763185054
2020-09-29,-6.074992479062204
2020-09-30,-6.313155171359883
2020-10-01,-2.1955594769085223
2020-10-02,-2.77307960333752
2020-10-05,2.539118311571974
2020-10-06,-1.114383344403475
2020-10-07,2.788977970306176
2020-10-08,3.632853365655765
2020-10-09,3.1341791494989155
2020-10-12,4.122844954234065
2020-10-13,3.581844898936711
2020-10-14,3.819570649228107
2020-10-15,4.938150702885709
2020-10-16,6.258972469569993
2020-10-19,3.7919380845594173
2020-10-20,7.357725301229232
2020-10-21,7.052518230466549
2020-10-22,6.375968202266181
2020-10-23,4.835341741578721
2020-10-26,3.309939960228772
2020-10-27,1.7005478994010863
2020-10-28,-2.3651058455492753
2020-10-29,-0.14908981166355806
2020-10-30,-3.184356522745771
2020-11-02,-0.5652264476581487
2020-11-03,-0.581723274122337
2020-11-04,0.04316761356309649
2020-11-05,1.076862102428378
2020-11-06,-0.10783595407465535
2020-11-09,2.746133005485719
2020-11-10,3.564787488956836
2020-11-11,4.162450797847152
2020-11-12,2.657464204510991
2020-11-13,5.58062825613371
2020-11-16,6.325963701690372
2020-11-17,5.605080692845066
2020-11-18,3.433139589519095
2020-11-19,3.556432606407435
2020-11-20,4.875174817868695
2020-11-23,6.284709844673406
2020-11-24,11.90755058309499
2020-11-25,10.199230865030218
2020-11-27,11.061959303806582
2020-11-30,9.47869579105575
2020-12-01,9.11501880444016
2020-12-02,7.98652853289856
2020-12-03,5.6379485094982655
2020-12-04,6.598989055579751
2020-12-07,4.055871208496726
2020-12-08,4.094618905316489
2020-12-09,2.7409488031823215
2020-12-10,4.016333308233182
2020-12-11,2.1625341297073266
2020-12-14,-0.007296637273919025
2020-12-15,2.2330972530701922
2020-12-16,3.6921571130361555
2020-12-17,4.088966185254313
2020-12-18,4.633268809695379
2020-12-21,3.408954484393549
2020-12-22,1.2693216548574617
2020-12-23,1.743077170331712
2020-12-24,2.0165090513504342
2020-12-28,3.291962458206645
2020-12-29,1.3943338463689212
2020-12-30,1.0778475166523114
2020-12-31,1.8662698940964142
2021-01-04,-0.8144561235165269
2021-01-05,0.5773400898790612
2021-01-06,1.5885135853980692
2021-01-07,4.195972843043102
2021-01-08,5.348373012716143
2021-01-11,5.186797608478761
2021-01-12,6.090719036675328
2021-01-13,4.509119947187721
2021-01-14,4.13056333587708
2021-01-15,2.426146378240843
2021-01-19,3.483376575051876
2021-01-20,5.263054273216323
2021-01-21,5.863393601256266
2021-01-22,5.060638379817566
2021-01-25,4.811479746991736
2021-01-26,3.8023645238649775
2021-01-27,1.346713794283644
2021-01-28,2.391237931636413
2021-01-29,0.06119388233069688
2021-02-01,3.0519190758108974
2021-02-02,3.8388502180935964
2021-02-03,2.963970352890959
